series_title,series_episodes,my_score,rating,complexity,my_status
Akira,1,8,3,5,Completed
Angel Beats!,13,7,1,4,Completed
Ao no Exorcist,25,5,1,1,Completed
Assassination Classroom,47,8,1,4,Completed
Attack On Titans,10,10,2,5,Completed
Baccano!,13,8,1,3,Completed
Bakuman,75,9,1,3,Completed
Ballroom e Youkoso,24,7,1,2,Completed
Basilisk,24,7,2,3,Completed
Beastars,12,8,2,4,Completed
Beelzebub,60,7,1,0,Completed
Berserk,25,10,3,5,Completed
Black Clover,149,6,1,0,Watching
Bleach,366,7,1,1,Completed
Blood Lad,10,6,1,0,Completed
Boku dake ga Inai Machi,12,8,2,4,Completed
Boku no Hero Academia,88,9,1,3,Completed
Bungou Stray Dogs,36,8,2,2,Completed
Code Geass: Hangyaku no Lelouch,25,10,2,5,Completed
Cowboy Bebop,26,6,2,4,Completed
D.Gray-man,103,8,2,2,Completed
Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,13,6,2,3,Completed
Darker than Black: Kuro no Keiyakusha,41,7,2,3,Completed
Death Note,37,10,2,5,Completed
Death Parade,12,7,2,5,Completed
Devilman: Crybaby,10,9,3,5,Completed
Diamond no Ace,75,7,1,0,Completed
Dragon Ball Super,131,6,1,0,Completed
Dragon Ball Z,291,7,1,2,Completed
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,13,6,1,0,Completed
Elfen Lied,13,6,3,3,Completed
Ergo Proxy,23,7,2,5,Completed
Fairy Tail,175,7,1,0,Completed
Fate/Zero,25,8,2,3,Completed
Fullmetal Alchemist: Brotherhood,64,8,2,5,Completed
Gangsta.,12,5,2,2,Completed
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",24,6,2,3,Completed
GetBackers,49,7,1,1,Completed
Gintama,356,10,1,4,Completed
Great Teacher Onizuka,43,9,2,5,Completed
Kaiji,52,8,2,5,Completed
Haikyuu!!,73,8,1,3,Completed
Hajime no Ippo,126,10,1,3,Completed
Hellsing,13,2,2,3,Completed
Hellsing Ultimate,10,7,2,3,Completed
Hikaru no Go,75,9,1,1,Completed
Hotaru no Haka,1,9,2,5,Completed
Hunter x Hunter (2011),148,10,1,4,Completed
JoJo no Kimyou na Bouken Part 1 & 2,26,7,2,0,Completed
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,48,7,2,1,Completed
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,39,7,2,2,Completed
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39,9,2,3,Completed
Joker Game,12,6,2,3,Completed
Katanagatari,12,8,2,2,Completed
Katekyo Hitman Reborn!,203,8,1,2,Completed
Kaze no Tani no Nausicaä,1,9,1,3,Completed
Kill la Kill,24,8,1,2,Completed
Kimetsu no Yaiba,26,8,2,1,Completed
Kiseijuu: Sei no Kakuritsu,24,9,2,5,Completed
Kono Subarashii Sekai ni Shukufuku wo!,20,8,1,0,Completed
Koukaku Kidoutai,1,7,3,5,Completed
Koukaku Kidoutai: Stand Alone Complex,26,8,2,5,Watching
Koutetsujou no Kabaneri,12,2,2,4,Completed
Kuroko no Basket,75,7,1,0,Completed
Kuroshitsuji,46,7,2,3,Completed
Made in Abyss,13,7,2,4,Completed
Magi: Sinbad no Bouken (TV),18,6,1,2,Completed
Magi: The Kingdom of Magic,50,8,1,4,Completed
Mahou Shoujo Madoka?Magica,12,7,1,4,Completed
MÄR,102,5,1,0,Completed
Megalo Box,13,8,2,3,Completed
Mirai Nikki,26,7,3,4,Completed
Mob Psycho 100,26,10,1,4,Completed
Mobile Suit Gundam: Iron-Blooded Orphans,50,9,2,5,Completed
Monster,74,10,3,5,Completed
Nana,47,8,3,3,Completed
Nanatsu no Taizai,24,8,1,2,Completed
Naruto,220,8,1,2,Completed
Naruto: Shippuuden,500,8,1,3,Completed
Neon Genesis Evangelion,26,8,2,5,Completed
Neon Genesis Evangelion: The End of Evangelion,1,8,3,5,Completed
No Game No Life,12,7,1,3,Completed
Oban Star-Racers,26,6,0,2,Completed
One Piece,931,10,1,3,Watching
One Punch Man,12,9,2,3,Completed
Overlord,13,5,2,1,Completed
Owari no Seraph,12,5,2,1,Completed
Pandora Hearts,25,8,1,3,Completed
Phi Brain: Kami no Puzzle,25,5,1,1,Completed
Prison School,12,6,3,1,Completed
Psycho-Pass,22,9,2,5,Completed
Rainbow: Nisha Rokubou no Shichinin,26,9,2,5,Completed
Re:Zero kara Hajimeru Isekai Seikatsu,38,8,2,4,Completed
Saiki Kusuo no ?-nan,120,7,1,1,Completed
Sen to Chihiro no Kamikakushi,1,10,0,1,Completed
Shaman King,64,7,1,0,Completed
Shigatsu wa Kimi no Uso,22,9,1,1,Completed
Shigurui,12,6,3,2,Completed
Shingeki no Kyojin,59,10,2,4,Completed
Shokugeki no Souma,86,8,1,0,Completed
Slam Dunk,101,8,1,1,Completed
Soul Eater,51,8,1,2,Completed
Steins;Gate,24,8,1,3,Completed
Sword Art Online,25,8,1,1,Completed
Tengen Toppa Gurren Lagann,27,8,1,0,Completed
Tenki no Ko,1,7,1,3,Watching
Tensei shitara Slime Datta Ken,24,8,1,2,Completed
To Be Hero,12,7,1,2,Completed
Tokyo Ghoul,12,7,2,5,Completed
Toradora!,25,7,1,2,Completed
Vinland Saga,24,9,2,4,Completed
Yakusoku no Neverland,12,8,2,4,Completed
Yowamushi Pedal,62,8,1,2,Completed
Yu?Gi?Oh! 5D's,154,7,1,3,Completed
Yu?Gi?Oh! Duel Monsters,224,6,1,0,Completed
Yu?Gi?Oh!: Duel Monsters GX,180,5,1,0,Completed
Yuu?Yuu?Hakusho,112,6,1,0,Watching
Zankyou no Terror,11,7,2,5,Completed
Zetsuen no Tempest,24,7,1,4,Completed
